101|Bad|4000.00|0.00|6-2023|10000.00|14000.00
101|Desc|5000.00|0.00|7-2023|14000.00|19000.00
101|Hospital|0.00|1200.00|7-2023|19000.00|17800.00
101|Ruthvik Gift|8000.00|0.00|3-2024|17800.00|25800.00
125|Chocolates|0.00|2000.00|7-2023|10000.00|8000.00
200|Aon|2000.00|0.00|6-2023|10000.00|12000.00
200|Dress|0.00|400.00|6-2023|12000.00|11600.00
200|Baby Pampers Expenses|44777.00|0.00|1-2024|11600.00|56377.00
444|bang|600.00|0.00|7-2023|10000.00|10600.00
444|minus|0.00|500.00|7-2023|10600.00|10100.00
456|Icecreams|0.00|3000.00|10-2023|10000.00|7000.00
998|first money|1000.00|0.00|3-2024|10000.00|11000.00
998|chocolate|0.00|500.00|3-2024|11000.00|10500.00
998|Books|0.00|500.00|4-2024|10500.00|10000.00
